Sentence_ID,Source_Language,Target_Language,Source_Text,Target_Text,Domain,Sentence_Length,Translation_Quality,Speaker_Region,Formality
S0476,English,Lusoga,Welcome,[Lusoga translation] Tusangaile,Tourism,1,High,Western,Informal
S0477,English,Rukiga,This park has many animals,[Rukiga translation] Paaka egi erimu enyamaishwa mingi,Tourism,5,High,Northern,Formal
S0478,English,Luganda,Welcome,[Luganda translation] Tukwaniriza,Daily Conversation,1,High,Eastern,Informal
S0479,English,Lugbara,This park has many animals,[Lugbara translation] Jeredigada anakpaki minji,Tourism,5,High,Western,Informal
S0480,English,Lusoga,Thank you,[Lusoga translation] Webale,Education,2,High,Northern,Informal
S0481,English,Lugbara,Welcome,[Lugbara translation] Ma ai mira,Government,1,High,West Nile,Formal
S0482,English,Lusoga,The road is bad,[Lusoga translation] Oluguudo lubi,Agriculture,4,High,Western,Formal
S0483,English,Rukiga,School begins tomorrow,[Rukiga translation] Eishomero niritandika nyencakare,Education,3,High,West Nile,Formal
S0484,English,Lusoga,The market is busy today,[Lusoga translation] Akatale kalimu abantu kamala olwalelo,Business,5,High,West Nile,Informal
S0485,English,Lugbara,The market is busy today,[Lugbara translation] Su fi andu,Business,5,High,Northern,Formal
S0486,English,Runyankole,The patient needs medicine,[Runyankole translation] Omurwire nayenda omubazi,Health,4,High,Central,Informal
S0487,English,Lusoga,The patient needs medicine,[Lusoga translation] Omulwaire yetaaga obulezi,Health,4,High,Central,Formal
S0488,English,Acholi,We are going home,[Acholi translation] Watye ka dok gang,Government,4,High,West Nile,Formal
S0489,English,Luganda,The market is busy today,[Luganda translation] Akatale kaliimu abantu bangi leero,Business,5,High,Central,Formal
S0490,English,Lusoga,Wash your hands,[Lusoga translation] Naaba engalo dho,Health,3,High,West Nile,Formal
S0491,English,Luganda,Open the door,[Luganda translation] Ggulawo oluggi,Daily Conversation,3,High,Northern,Formal
S0492,English,Runyankole,The patient needs medicine,[Runyankole translation] Omurwire nayenda omubazi,Health,4,High,West Nile,Informal
S0493,English,Lugbara,The crops are ready,[Lugbara translation] Nyaka afukibo,Agriculture,4,High,Western,Formal
S0494,English,Runyankole,Open the door,[Runyankole translation] Yigura orwigyi,Business,3,High,Western,Formal
S0495,English,Luganda,We are going home,[Luganda translation] Tugenda waka,Agriculture,4,High,Western,Informal
S0496,English,Acholi,We are going home,[Acholi translation] Watye ka dok gang,Business,4,High,Northern,Informal
S0497,English,Runyankole,Welcome,[Runyankole translation] Twakushemererwa,Tourism,1,High,West Nile,Formal
S0498,English,Runyankole,The patient needs medicine,[Runyankole translation] Omurwire nayenda omubazi,Health,4,High,Northern,Formal
S0499,English,Rukiga,School begins tomorrow,[Rukiga translation] Eishomero niritandika nyencakare,Education,3,High,West Nile,Formal
S0500,English,Luganda,Thank you,[Luganda translation] Webale,Government,2,High,Western,Informal
S0501,English,Rukiga,Wash your hands,[Rukiga translation] Naaba engaro zaawe,Health,3,High,Northern,Formal
S0502,English,Runyankole,Wash your hands,[Runyankole translation] Naba engaro,Health,3,High,West Nile,Formal
S0503,English,Lusoga,Good morning,[Lusoga translation] Wasuze otya,Education,2,High,Western,Formal
S0504,English,Rukiga,The road is bad,[Rukiga translation] Oruguuto nirubi,Agriculture,4,High,Northern,Formal
S0505,English,Lugbara,Wash your hands,[Lugbara translation] Mi uji midriki,Health,3,High,Central,Informal
S0506,English,Lugbara,Wash your hands,[Lugbara translation] Mi uji midriki,Health,3,High,Eastern,Formal
S0507,English,Ateso,Welcome,[Ateso translation] Ijalama anyin,Business,1,High,Central,Formal
S0508,English,Rukiga,Good morning,[Rukiga translation] Bwashesha gye,Daily Conversation,2,High,Northern,Informal
S0509,English,Luganda,This park has many animals,[Luganda translation] Paaka eno erimu ensolo nyingi,Tourism,5,High,West Nile,Formal
S0510,English,Rukiga,The patient needs medicine,[Rukiga translation] Omurwaire nayetenga embazi,Health,4,High,Eastern,Informal
S0511,English,Runyankole,Welcome,[Runyankole translation] Twakushemererwa,Tourism,1,High,Central,Formal
S0512,English,Ateso,Thank you,[Ateso translation] Eyalama noi.,Education,2,High,Central,Formal
S0513,English,Lusoga,Open the door,[Lusoga translation] Igulawo olwigi,Education,3,High,Eastern,Formal
S0514,English,Acholi,Thank you,[Acholi translation] Apwoyo,Daily Conversation,2,High,Northern,Informal
S0515,English,Ateso,Welcome,[Ateso translation] Ijalama anyin,Agriculture,1,High,Central,Formal
S0516,English,Acholi,The market is busy today,[Acholi translation] Cuk tye ka tic matek tin,Business,5,High,Eastern,Informal
S0517,English,Luganda,The crops are ready,[Luganda translation] Ebirime bikuze,Agriculture,4,High,Western,Informal
S0518,English,Lusoga,Open the door,[Lusoga translation] Igulawo olwigi,Tourism,3,High,Eastern,Formal
S0519,English,Lugbara,The market is busy today,[Lugbara translation] Su fi andu,Business,5,High,Eastern,Formal
S0520,English,Lugbara,Thank you,[Lugbara translation] Awodifo,Agriculture,2,High,Central,Informal
S0521,English,Lusoga,Good morning,[Lusoga translation] Wasuze otya,Daily Conversation,2,High,Eastern,Formal
S0522,English,Luganda,Open the door,[Luganda translation] Ggulawo oluggi,Government,3,High,Eastern,Formal
S0523,English,Acholi,The crops are ready,[Acholi translation] Jami ma ki pito dong tye atera,Agriculture,4,High,West Nile,Informal
S0524,English,Luganda,Open the door,[Luganda translation] Ggulawo oluggi,Agriculture,3,High,Central,Informal
S0525,English,Acholi,Thank you,[Acholi translation] Apwoyo,Health,2,High,Eastern,Formal
S0526,English,Ateso,This park has many animals,[Ateso translation] Epu eitur awujo,Tourism,5,High,West Nile,Informal
S0527,English,Ateso,Thank you,[Ateso translation] Eyalama noi.,Education,2,High,Eastern,Formal
S0528,English,Luganda,The road is bad,[Luganda translation] Ekkubo libi,Business,4,High,West Nile,Formal
S0529,English,Luganda,The patient needs medicine,[Luganda translation] Omulwadde yeetaaga eddagala,Health,4,High,Eastern,Informal
S0530,English,Runyankole,The patient needs medicine,[Runyankole translation] Omurwire nayenda omubazi,Health,4,High,West Nile,Informal
S0531,English,Runyankole,Good morning,[Runyankole translation] Oraire ota,Business,2,High,Western,Formal
S0532,English,Ateso,The patient needs medicine,[Ateso translation] Ekotosi adeka ekia,Health,4,High,Eastern,Formal
S0533,English,Runyankole,The patient needs medicine,[Runyankole translation] Omurwire nayenda omubazi,Health,4,High,Northern,Informal
S0534,English,Lusoga,Good morning,[Lusoga translation] Wasuze otya,Daily Conversation,2,High,West Nile,Informal
S0535,English,Lugbara,School begins tomorrow,[Lugbara translation] Sukulu la ido dusi,Education,3,High,Northern,Formal
S0536,English,Runyankole,The road is bad,[Runyankole translation] Oruguto nirubi,Daily Conversation,4,High,Central,Formal
S0537,English,Rukiga,Open the door,[Rukiga translation] Yaigura orwigi,Business,3,High,Northern,Informal
S0538,English,Rukiga,Wash your hands,[Rukiga translation] Naaba engaro zaawe,Health,3,High,Northern,Formal
S0539,English,Rukiga,The road is bad,[Rukiga translation] Oruguuto nirubi,Health,4,High,Northern,Informal
S0540,English,Lugbara,School begins tomorrow,[Lugbara translation] Sukulu la ido dusi,Education,3,High,Northern,Formal
S0541,English,Rukiga,Good morning,[Rukiga translation] Bwashesha gye,Government,2,High,Eastern,Formal
S0542,English,Lugbara,The road is bad,[Lugbara translation] Njila unji,Daily Conversation,4,High,West Nile,Informal
S0543,English,Runyankole,The road is bad,[Runyankole translation] Oruguto nirubi,Daily Conversation,4,High,Central,Informal
S0544,English,Ateso,Thank you,[Ateso translation] Eyalama noi.,Education,2,High,Western,Informal
S0545,English,Lusoga,The crops are ready,[Lusoga translation] Ebisimbe byatuuka,Agriculture,4,High,Northern,Informal
S0546,English,Acholi,Wash your hands,[Acholi translation] Lwok cingi,Health,3,High,West Nile,Formal
S0547,English,Runyankole,The patient needs medicine,[Runyankole translation] Omurwire nayenda omubazi,Health,4,High,Eastern,Informal
S0548,English,Lugbara,School begins tomorrow,[Lugbara translation] Sukulu la ido dusi,Education,3,High,West Nile,Informal
S0549,English,Rukiga,The patient needs medicine,[Rukiga translation] Omurwaire nayetenga embazi,Health,4,High,Central,Informal
S0550,English,Lugbara,The crops are ready,[Lugbara translation] Nyaka afukibo,Agriculture,4,High,West Nile,Formal
S0551,English,Luganda,The patient needs medicine,[Luganda translation] Omulwadde yeetaaga eddagala,Health,4,High,Western,Formal
S0552,English,Ateso,Open the door,[Ateso translation] Buka ebwogo.,Education,3,High,Eastern,Formal
S0553,English,Runyankole,The patient needs medicine,[Runyankole translation] Omurwire nayenda omubazi,Health,4,High,Eastern,Formal
S0554,English,Acholi,Wash your hands,[Acholi translation] Lwok cingi,Health,3,High,West Nile,Informal
S0555,English,Runyankole,Thank you,[Runyankole translation] Webale,Business,2,High,Central,Formal
S0556,English,Luganda,Welcome,[Luganda translation] Tukwaniriza,Government,1,High,West Nile,Formal
S0557,English,Lusoga,Thank you,[Lusoga translation] Webale,Agriculture,2,High,Northern,Informal
S0558,English,Rukiga,Thank you,[Rukiga translation] Webare,Government,2,High,Northern,Informal
S0559,English,Lusoga,The patient needs medicine,[Lusoga translation] Omulwaire yetaaga obulezi,Health,4,High,Western,Informal
S0560,English,Lugbara,The patient needs medicine,[Lugbara translation] Ba azoruri le aro,Health,4,High,Central,Informal
S0561,English,Luganda,Thank you,[Luganda translation] Webale,Daily Conversation,2,High,Central,Informal
S0562,English,Runyankole,This park has many animals,[Runyankole translation] Ekishaka kyiine ebinyamaiswa nyingi,Tourism,5,High,Central,Informal
S0563,English,Lugbara,Wash your hands,[Lugbara translation] Mi uji midriki,Health,3,High,Central,Formal
S0564,English,Luganda,The patient needs medicine,[Luganda translation] Omulwadde yeetaaga eddagala,Health,4,High,Northern,Informal
S0565,English,Runyankole,This park has many animals,[Runyankole translation] Ekishaka kyiine ebinyamaiswa nyingi,Tourism,5,High,Eastern,Formal
S0566,English,Acholi,Thank you,[Acholi translation] Apwoyo,Tourism,2,High,Eastern,Formal
S0567,English,Acholi,We are going home,[Acholi translation] Watye ka dok gang,Education,4,High,West Nile,Informal
S0568,English,Ateso,School begins tomorrow,[Ateso translation] Egenu esomero emoi,Education,3,High,Central,Informal
S0569,English,Lugbara,Wash your hands,[Lugbara translation] Mi uji midriki,Health,3,High,Western,Informal
S0570,English,Ateso,This park has many animals,[Ateso translation] Epu eitur awujo,Tourism,5,High,Northern,Formal
S0571,English,Rukiga,Thank you,[Rukiga translation] Webare,Tourism,2,High,Northern,Formal
S0572,English,Acholi,Wash your hands,[Acholi translation] Lwok cingi,Health,3,High,Western,Formal
S0573,English,Ateso,Welcome,[Ateso translation] Ijalama anyin,Education,1,High,West Nile,Formal
S0574,English,Lugbara,Wash your hands,[Lugbara translation] Mi uji midriki,Health,3,High,West Nile,Formal
S0575,English,Rukiga,Good morning,[Rukiga translation] Bwashesha gye,Daily Conversation,2,High,Eastern,Formal
S0576,English,Runyankole,This park has many animals,[Runyankole translation] Ekishaka kyiine ebinyamaiswa nyingi,Tourism,5,High,Western,Formal
S0577,English,Rukiga,Thank you,[Rukiga translation] Webare,Tourism,2,High,Central,Formal
S0578,English,Acholi,The road is bad,[Acholi translation] Gudu ni rac,Health,4,High,West Nile,Formal
S0579,English,Acholi,Good morning,[Acholi translation] Icoo Maber,Agriculture,2,High,Central,Informal
S0580,English,Ateso,The road is bad,[Ateso translation] Ebarabara ekeda aiboroit.,Agriculture,4,High,Eastern,Informal
S0581,English,Lusoga,The market is busy today,[Lusoga translation] Akatale kalimu abantu kamala olwalelo,Business,5,High,Central,Informal
S0582,English,Lusoga,School begins tomorrow,[Lusoga translation] Eisomero litandika idho,Education,3,High,Western,Informal
S0583,English,Runyankole,Open the door,[Runyankole translation] Yigura orwigyi,Business,3,High,Central,Formal
S0584,English,Lugbara,The market is busy today,[Lugbara translation] Su fi andu,Business,5,High,Eastern,Formal
S0585,English,Lusoga,Wash your hands,[Lusoga translation] Naaba engalo dho,Health,3,High,Western,Formal
S0586,English,Lugbara,School begins tomorrow,[Lugbara translation] Sukulu la ido dusi,Education,3,High,Western,Formal
S0587,English,Lugbara,School begins tomorrow,[Lugbara translation] Sukulu la ido dusi,Education,3,High,Western,Formal
S0588,English,Luganda,Wash your hands,[Luganda translation] Naaba emikono gyo,Health,3,High,Eastern,Informal
S0589,English,Lugbara,The patient needs medicine,[Lugbara translation] Ba azoruri le aro,Health,4,High,West Nile,Informal
S0590,English,Runyankole,We are going home,[Runyankole translation] Yigura orwigyi,Health,4,High,West Nile,Formal
S0591,English,Acholi,This park has many animals,[Acholi translation] Kabedo pa lee ni tye ki lee mapol,Tourism,5,High,West Nile,Informal
S0592,English,Acholi,The crops are ready,[Acholi translation] Jami ma ki pito dong tye atera,Agriculture,4,High,Western,Informal
S0593,English,Luganda,Wash your hands,[Luganda translation] Naaba emikono gyo,Health,3,High,Western,Formal
S0594,English,Runyankole,School begins tomorrow,[Runyankole translation] Eishomero niritandika nyencakare,Education,3,High,Northern,Formal
S0595,English,Lugbara,Open the door,[Lugbara translation] Indi kati,Education,3,High,Eastern,Formal
S0596,English,Acholi,This park has many animals,[Acholi translation] Kabedo pa lee ni tye ki lee mapol,Tourism,5,High,West Nile,Formal
S0597,English,Ateso,The patient needs medicine,[Ateso translation] Ekotosi adeka ekia,Health,4,High,Eastern,Informal
S0598,English,Lusoga,Welcome,[Lusoga translation] Tusangaile,Government,1,High,Western,Formal
S0599,English,Lusoga,Open the door,[Lusoga translation] Igulawo olwigi,Tourism,3,High,Eastern,Formal
S0600,English,Rukiga,School begins tomorrow,[Rukiga translation] Eishomero niritandika nyencakare,Education,3,High,Central,Informal
S0601,English,Lugbara,Open the door,[Lugbara translation] Indi kati,Business,3,High,West Nile,Formal
S0602,English,Ateso,We are going home,[Ateso translation] Alototo oire,Daily Conversation,4,High,Eastern,Formal
S0603,English,Luganda,The market is busy today,[Luganda translation] Akatale kaliimu abantu bangi leero,Business,5,High,Central,Informal
S0604,English,Acholi,The road is bad,[Acholi translation] Gudu ni rac,Agriculture,4,High,West Nile,Informal
S0605,English,Rukiga,Good morning,[Rukiga translation] Bwashesha gye,Agriculture,2,High,Eastern,Informal
S0606,English,Ateso,The crops are ready,[Ateso translation] Ebaret ekeda aiyare.,Agriculture,4,High,Northern,Informal
S0607,English,Luganda,Welcome,[Luganda translation] Tukwaniriza,Government,1,High,Northern,Informal
S0608,English,Acholi,The patient needs medicine,[Acholi translation] Latwo ni mito yat,Health,4,High,Northern,Formal
S0609,English,Lusoga,The crops are ready,[Lusoga translation] Ebisimbe byatuuka,Agriculture,4,High,Northern,Informal
S0610,English,Luganda,School begins tomorrow,[Luganda translation] Essomero litandika enkya,Education,3,High,West Nile,Informal
S0611,English,Runyankole,We are going home,[Runyankole translation] Nitugyenda omuka,Government,4,High,Central,Informal
S0612,English,Runyankole,Welcome,[Runyankole translation] Twakushemererwa,Business,1,High,Western,Informal
S0613,English,Lugbara,The crops are ready,[Lugbara translation] Nyaka afukibo,Agriculture,4,High,Northern,Formal
S0614,English,Lugbara,The road is bad,[Lugbara translation] Njila unji,Daily Conversation,4,High,West Nile,Formal
S0615,English,Lusoga,The crops are ready,[Lusoga translation] Ebisimbe byatuuka,Agriculture,4,High,Western,Formal
S0616,English,Runyankole,Welcome,[Runyankole translation] Twakushemererwa,Health,1,High,Eastern,Formal
S0617,English,Luganda,The patient needs medicine,[Luganda translation] Omulwadde yeetaaga eddagala,Health,4,High,Western,Formal
S0618,English,Lusoga,The patient needs medicine,[Lusoga translation] Omulwaire yetaaga obulezi,Health,4,High,Western,Informal
S0619,English,Ateso,Open the door,[Ateso translation] Buka ebwogo.,Health,3,High,Western,Informal
S0620,English,Rukiga,Wash your hands,[Rukiga translation] Naaba engaro zaawe,Health,3,High,West Nile,Informal
S0621,English,Lusoga,The market is busy today,[Lusoga translation] Akatale kalimu abantu kamala olwalelo,Business,5,High,Eastern,Formal
S0622,English,Luganda,We are going home,[Luganda translation] Tugenda waka,Daily Conversation,4,High,Central,Formal
S0623,English,Luganda,This park has many animals,[Luganda translation] Paaka eno erimu ensolo nyingi,Tourism,5,High,Central,Informal
S0624,English,Lugbara,Welcome,[Lugbara translation] Ma ai mira,Agriculture,1,High,Eastern,Informal
S0625,English,Ateso,Thank you,[Ateso translation] Eyalama noi.,Agriculture,2,High,Northern,Formal
S0626,English,Acholi,Thank you,[Acholi translation] Apwoya wun weng,Daily Conversation,2,High,West Nile,Formal
S0627,English,Lusoga,The patient needs medicine,[Lusoga translation] Omulwaire yetaaga obulezi,Health,4,High,Northern,Formal
S0628,English,Lugbara,Wash your hands,[Lugbara translation] Mi uji midriki,Health,3,High,Eastern,Formal
S0629,English,Luganda,Wash your hands,[Luganda translation] Naaba emikono gyo,Health,3,High,Northern,Informal
S0630,English,Luganda,Good morning,[Luganda translation] Wasuze otya,Government,2,High,Central,Informal
S0631,English,Lusoga,The patient needs medicine,[Lusoga translation] Omulwaire yetaaga obulezi,Health,4,High,Northern,Informal
S0632,English,Lusoga,The road is bad,[Lusoga translation] Oluguudo lubi,Government,4,High,West Nile,Formal
S0633,English,Luganda,Open the door,[Luganda translation] Ggulawo oluggi,Government,3,High,Eastern,Informal
S0634,English,Acholi,We are going home,[Acholi translation] Watye ka dok gang,Business,4,High,Eastern,Formal
S0635,English,Lugbara,Good morning,[Lugbara translation] Mi afu ngoni,Daily Conversation,2,High,Central,Formal
S0636,English,Lusoga,Thank you,[Lusoga translation] Webale,Daily Conversation,2,High,Western,Formal
S0637,English,Rukiga,The crops are ready,[[Rukiga translation] Ebihingwa byezire,Agriculture,4,High,Western,Informal
S0638,English,Lusoga,The patient needs medicine,[Lusoga translation] Omulwaire yetaaga obulezi,Health,4,High,Western,Informal
S0639,English,Lusoga,The market is busy today,[Lusoga translation] Akatale kalimu abantu kamala olwalelo,Business,5,High,Eastern,Informal
S0640,English,Lugbara,The road is bad,[Lugbara translation] Njila unji,Government,4,High,Western,Informal
S0641,English,Lusoga,This park has many animals,[Lusoga translation] Paaka eno elina ensolo kamaala,Tourism,5,High,Northern,Informal
S0642,English,Luganda,Thank you,[Luganda translation] Webale,Education,2,High,Western,Informal
S0643,English,Lusoga,The crops are ready,[Lusoga translation] Ebisimbe byatuuka,Agriculture,4,High,Central,Informal
S0644,English,Lusoga,The crops are ready,[Lusoga translation] Ebisimbe byatuuka,Agriculture,4,High,Western,Formal
S0645,English,Luganda,The road is bad,[Luganda translation] Ekkubo libi,Government,4,High,Central,Informal
S0646,English,Runyankole,Open the door,[Runyankole translation] Yigura orwigyi,Tourism,3,High,Northern,Formal
S0647,English,Acholi,The market is busy today,[Acholi translation] Cuk tye ka tic matek tin,Business,5,High,Western,Formal
S0648,English,Ateso,The road is bad,[Ateso translation] Ebarabara ekeda aiboroit.,Government,4,High,Northern,Informal
S0649,English,Acholi,School begins tomorrow,[Acholi translation] Gang Kwan obi cake diki,Education,3,High,Central,Informal
S0650,English,Runyankole,This park has many animals,[Runyankole translation] Ekishaka kyiine ebinyamaiswa nyingi,Tourism,5,High,Western,Formal
S0651,English,Acholi,We are going home,[Acholi translation] Watye ka dok gang,Business,4,High,West Nile,Informal
S0652,English,Rukiga,We are going home,[[Rukiga translation] Turiyo nituza omuka,Tourism,4,High,Western,Informal
S0653,English,Ateso,We are going home,[Ateso translation] Alototo oire,Daily Conversation,4,High,Eastern,Formal
S0654,English,Rukiga,Welcome,[Rukiga translation] Twakwakiira,Health,1,High,Eastern,Informal
S0655,English,Ateso,Thank you,[Ateso translation] Eyalama noi.,Daily Conversation,2,High,Northern,Formal
S0656,English,Runyankole,Open the door,[Runyankole translation] Yigura orwigyi,Health,3,High,Central,Formal
S0657,English,Runyankole,School begins tomorrow,[Runyankole translation] Eishomero niritandika nyencakare,Education,3,High,West Nile,Formal
S0658,English,Ateso,Good morning,[Ateso translation] Ber otingela.,Daily Conversation,2,High,Western,Informal
S0659,English,Ateso,Wash your hands,[Ateso translation] Elota akani,Health,3,High,West Nile,Informal
S0660,English,Runyankole,The market is busy today,[Runyankole translation] Akatare kali busy,Business,5,High,Eastern,Informal
S0661,English,Rukiga,Thank you,[Rukiga translation] Webare,Education,2,High,Northern,Formal
S0662,English,Acholi,Open the door,[Acholi translation] Yab doggola,Tourism,3,High,Central,Informal
S0663,English,Luganda,Welcome,[Luganda translation] Tukwaniriza,Agriculture,1,High,Central,Formal
S0664,English,Ateso,Welcome,[Ateso translation] Ijalama anyin,Tourism,1,High,Central,Formal
S0665,English,Lugbara,This park has many animals,[Lugbara translation] Jeredigada anakpaki minji,Tourism,5,High,West Nile,Formal
S0666,English,Luganda,Welcome,[Luganda translation] Tukwaniriza,Education,1,High,Central,Formal
S0667,English,Rukiga,The patient needs medicine,[Rukiga translation] Omurwaire nayetenga embazi,Health,4,High,Eastern,Informal
S0668,English,Lusoga,Wash your hands,[Lusoga translation] Naaba engalo dho,Health,3,High,Central,Formal
S0669,English,Lugbara,This park has many animals,[Lugbara translation] Jeredigada anakpaki minji,Tourism,5,High,West Nile,Formal
S0670,English,Runyankole,We are going home,[Runyankole translation] Nitugyenda omuka,Health,4,High,West Nile,Informal
S0671,English,Lugbara,Open the door,[Lugbara translation] Indi kati,Tourism,3,High,Eastern,Formal
S0672,English,Rukiga,School begins tomorrow,[[Rukiga translation] Eishomero niritandika nyencakare,Education,3,High,Western,Formal
S0673,English,Ateso,The crops are ready,[Ateso translation] Ebaret ekeda aiyare.,Agriculture,4,High,Northern,Formal
S0674,English,Luganda,Thank you,[Luganda translation] Webale,Education,2,High,Northern,Informal
S0675,English,Runyankole,The crops are ready,[Runyankole translation] Ebihingwa byahaire,Agriculture,4,High,Northern,Informal
S0676,English,Rukiga,The crops are ready,[[Rukiga translation] Ebihingwa byezire,Agriculture,4,High,West Nile,Formal
S0677,English,Lusoga,Good morning,[Lusoga translation] Wasuze otya,Tourism,2,High,Western,Formal
S0678,English,Ateso,Wash your hands,[Ateso translation] Elota akani,Health,3,High,Eastern,Formal
S0679,English,Runyankole,Welcome,[Runyankole translation] Twakushemererwa,Education,1,High,Western,Formal
S0680,English,Ateso,This park has many animals,[Ateso translation] Epu eitur awujo,Tourism,5,High,Northern,Formal
S0681,English,Lusoga,Welcome,[Lusoga translation] Tusangaile,Agriculture,1,High,West Nile,Informal
S0682,English,Luganda,Wash your hands,[Luganda translation] Naaba emikono gyo,Health,3,High,West Nile,Formal
S0683,English,Lusoga,The market is busy today,[Lusoga translation] Akatale kalimu abantu kamala olwalelo,Business,5,High,Central,Formal
S0684,English,Acholi,This park has many animals,[Acholi translation] Kabedo pa lee ni tye ki lee mapol,Tourism,5,High,Central,Informal
S0685,English,Luganda,The crops are ready,[Luganda translation] Ebirime bikuze,Agriculture,4,High,West Nile,Formal
S0686,English,Luganda,The market is busy today,[Luganda translation] Akatale kaliimu abantu bangi leero,Business,5,High,Eastern,Formal
S0687,English,Ateso,The road is bad,[Ateso translation] Ebarabara ekeda aiboroit.,Daily Conversation,4,High,Northern,Informal
S0688,English,Rukiga,The road is bad,[Rukiga translation] Oruguuto nirubi,Agriculture,4,High,Eastern,Informal
S0689,English,Runyankole,The patient needs medicine,[Runyankole translation] Omurwire nayenda omubazi,Health,4,High,Western,Formal
S0690,English,Lusoga,This park has many animals,[Lusoga translation] Paaka eno elina ensolo kamaala,Tourism,5,High,Western,Formal
S0691,English,Lusoga,The market is busy today,[Lusoga translation] Akatale kalimu abantu kamala olwalelo,Business,5,High,West Nile,Formal
S0692,English,Lusoga,The road is bad,[Lusoga translation] Oluguudo lubi,Government,4,High,Eastern,Formal
S0693,English,Ateso,This park has many animals,[Ateso translation] Epu eitur awujo,Tourism,5,High,Eastern,Informal
S0694,English,Rukiga,The patient needs medicine,[Rukiga translation] Omurwaire nayetenga embazi,Health,4,High,Eastern,Formal
S0695,English,Acholi,The patient needs medicine,[Acholi translation] Latwo ni mito yat,Health,4,High,Northern,Formal
S0696,English,Luganda,Thank you,[Luganda translation] Webale,Government,2,High,West Nile,Formal
S0697,English,Acholi,School begins tomorrow,[Acholi translation] Gang Kwan obi cake diki,Education,3,High,Northern,Formal
S0698,English,Runyankole,Good morning,[Runyankole translation] Oreiregye,Government,2,High,Central,Informal
S0699,English,Acholi,Open the door,[Acholi translation] Yab doggola,Agriculture,3,High,Central,Informal
S0700,English,Lusoga,Welcome,[Lusoga translation] Tusangaile,Daily Conversation,1,High,Western,Informal
S0701,English,Runyankole,The market is busy today,[Runyankole translation] Akatare kali busy,Business,5,High,Western,Formal
S0702,English,Luganda,Wash your hands,[Luganda translation] Naaba emikono gyo,Health,3,High,Eastern,Informal
S0703,English,Rukiga,Welcome,[Rukiga translation] Twakwakiira,Tourism,1,High,West Nile,Formal
S0704,English,Runyankole,The crops are ready,[Runyankole translation] Ebihingwa byahaire,Agriculture,4,High,West Nile,Informal
S0705,English,Acholi,Welcome,[Acholi translation] Wa joli,Business,1,High,Eastern,Formal
S0706,English,Rukiga,Thank you,[Rukiga translation] Webare,Education,2,High,Central,Formal
S0707,English,Ateso,The patient needs medicine,[Ateso translation] Ekotosi adeka ekia,Health,4,High,Western,Informal
S0708,English,Lugbara,Good morning,[Lugbara translation] Mi afu ngoni,Daily Conversation,2,High,Eastern,Formal
S0709,English,Lusoga,Open the door,[Lusoga translation] Igulawo olwigi,Daily Conversation,3,High,Western,Formal
S0710,English,Lusoga,The road is bad,[Lusoga translation] Oluguudo lubi,Business,4,High,Eastern,Formal
S0711,English,Luganda,Good morning,[Luganda translation] Wasuze otya,Tourism,2,High,Western,Formal
S0712,English,Rukiga,The market is busy today,[Rukiga translation] Akatare kijwire erizoba,Business,5,High,Central,Informal
S0713,English,Lugbara,School begins tomorrow,[Lugbara translation] Sukulu la ido dusi,Education,3,High,Northern,Informal
S0714,English,Ateso,Good morning,[Ateso translation] Ber otingela.,Education,2,High,Western,Formal
S0715,English,Acholi,The market is busy today,[Acholi translation] Cuk tye ka tic matek tin,Business,5,High,Northern,Informal
S0716,English,Lugbara,Welcome,[Lugbara translation] Ma ai mira,Business,1,High,Eastern,Informal
S0717,English,Acholi,The patient needs medicine,[Acholi translation] Latwo ni mito yat,Health,4,High,Northern,Informal
S0718,English,Acholi,The patient needs medicine,[Acholi translation] Latwo ni mito yat,Health,4,High,West Nile,Informal
S0719,English,Ateso,Open the door,[Ateso translation] Buka ebwogo.,Daily Conversation,3,High,Central,Informal
S0720,English,Rukiga,Wash your hands,[Rukiga translation] Naaba engaro zaawe,Health,3,High,Eastern,Formal
S0721,English,Lugbara,We are going home,[Lugbara translation] Ama mu akuwa,Government,4,High,West Nile,Formal
S0722,English,Luganda,Thank you,[Luganda translation] Webale,Agriculture,2,High,Eastern,Formal
S0723,English,Luganda,Wash your hands,[Luganda translation] Naaba emikono gyo,Health,3,High,West Nile,Formal
S0724,English,Lugbara,The market is busy today,[Lugbara translation] Su fi andu,Business,5,High,Northern,Formal
S0725,English,Lugbara,The market is busy today,[Lugbara translation] Su fi andu,Business,5,High,Western,Informal
S0726,English,Acholi,The patient needs medicine,[Acholi translation] Latwo ni mito yat,Health,4,High,West Nile,Informal
S0727,English,Rukiga,The patient needs medicine,[Rukiga translation] Omurwaire nayetenga embazi,Health,4,High,Northern,Informal
S0728,English,Luganda,The crops are ready,[Luganda translation] Ebirime bikuze,Agriculture,4,High,Central,Informal
S0729,English,Rukiga,The patient needs medicine,[Rukiga translation] Omurwaire nayetenga embazi,Health,4,High,Western,Informal
S0730,English,Lusoga,The market is busy today,[Lusoga translation] Akatale kalimu abantu kamala olwalelo,Business,5,High,West Nile,Informal
S0731,English,Acholi,Thank you,[Acholi translation] Apwoya wun weng,Daily Conversation,2,High,Northern,Formal
S0732,English,Lugbara,Thank you,[Lugbara translation] Awodifo,Daily Conversation,2,High,Eastern,Informal
